Entry,M_d1_A,M_d3_A,M_d6_A,O_d1_A,O_d3_A,O_d6_A,O_d7_A,O_d8_A,Past_d1_A,Past_d2_A,Past_d3_A,Past_d6_A,Past_d7_A,Pstr_d7_A
P06760,1,2,0,0,0,0,0,0,2180,1258,558,943,83,0
P06766,0,0,0,0,0,0,0,0,2,19,4,7,2,0
P06787,0,0,0,0,0,0,0,0,236,236,124,55,19.694,0
P06795,0,0,0,0,0,0,0,0,81.849,31.125,16.798,43.349,0,0
P06797,0,0,0,0,0,0,0,0,65.803,72.978,36.922,19.971,4.001,0
P07001,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P07038,0,0,0,0,0,0,0,0,344,398,141,273,24,0
P07103,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P07170,0,0,0,0,0,1,0,0,296.591,530.119,205.895,51.364,37.585,0
P07190,0,0,0,0,0,0,0,0,296,301,143,109,32,0
P07205,1,0,0,0,0,0,0,0,1028,982.622,428,313,76,0
P07259,0,0,3,0,0,0,0,0,472.236,342,158,271,23,0
P07260,0,0,0,0,0,0,0,0,430.663,412,213,90.192,34,0
P07278,0,0,0,0,0,0,0,0,566,460,243,212,21,0
P07334,0,0,0,0,0,0,0,0,139.135,133.87,61,48.679,0,0
P07346,0,0,0,0,0,0,0,0,216,166,121,279,21,0
P07384,0,0,0,0,0,0,0,0,23,26,7,8,1,0
P07436,8,14.993,5,0,0,0,0,3,10.508,23.7,0,23.432,1.79,0
P07524,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P07560,0,0,0,0,0,0,0,0,2,2,0,0,0,0
P07683,0,0,0,0,0,0,0,0,367.398,290.168,96.976,217.983,24,0
P07756,0,0,0,0,0,0,0,0,556.764,346,127,229,17,0
P07764,0,0,0,0,0,0,0,0,2080.846,1984.249,737.515,1063.938,209.729,0
P07778,0,0,0,0,0,0,0,0,41,48.306,18.001,5,0,0
P07799,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P07850,0,0,0,0,0,0,0,0,379,370,165,188,21,0
P07896,0,0,0,0,0,0,0,3,528.283,344.109,181.144,152.828,16.813,0
P07980,0,0,0,0,0,0,0,0,77,44,23,33,2,0
P07983,0,0,0,0,0,0,0,0,442,383,209,96,26,0
P07992,0,0,0,0,0,0,0,0,17,49,12,2,2,0
P08053,0,0,0,0,0,0,0,0,198.817,206.93,133.778,121,54,0
P08096,1,0,0,0,0,0,0,1,1465.805,1709.567,737,275,128,0
P08104,0,0,0,0,0,0,0,0,94,107,41,19,23,0
P08110,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P08133,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P08159,0,0,0,0,0,0,0,0,28,28,7,0,10,0
P08183,0,0,0,0,0,0,0,0,3160.98,2045.088,916.202,1543.651,128,0
P08199,0,0,0,0,0,0,0,0,40,78,16,7,1,0
P08201,0,0,0,4,0,0,0,0,6098.478,3037.043,1195.404,1617.204,95.814,0
P08212,0,0,0,0,0,0,0,0,860,992,285,344,135,0
P08282,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P08299,0,0,0,0,0,0,0,0,29,25,5,12,4,0
P08414,0,0,0,0,0,0,0,0,153,145,15,72,15,0
P08419,0,0,0,0,0,0,0,0,179,144,120,54,23,0
P08440,0,0,0,0,0,0,0,0,1,3,2,2,3,0
P08442,0,0,0,0,0,0,0,0,1,3,0,1,0,0
P08472,1,0,0,0,0,0,0,0,5181.31,2961.068,1159.544,1671.319,226.405,0
P08524,0,0,0,0,0,0,0,0,672,428,182,208,81,0
P08579,0,0,0,0,0,0,0,0,288,334,150,144,62,0
P08629,0,0,0,0,0,0,0,0,5.123,8.244,7.999,0,0,0
P08745,1,0,0,0,1.11,0,0,0,18.663,15.266,2,94.63,2.189,0
P08760,0,0,0,0,0,0,0,0,29,19,0,0,8,0
P08793,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P08823,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P08954,0,0,0,0,0,0,0,0,41,55,57,25,13,0
