Entry,M_d1_C,M_d3_C,M_d6_C,O_d1_C,O_d3_C,O_d6_C,O_d7_C,O_d8_C,Past_d1_C,Past_d2_C,Past_d3_C,Past_d6_C,Past_d7_C,Pstr_d7_C
O35920,0,0,0,0,4,0,0,4,0,0,0,0,0,0
O36021,1,0,2,0,0,0,0,0,0,0,0,0,0,0
O37319,42,64,92,185,154,107,71,134,0,0,0,0,0,0
O42123,59,75,116,0,0,0,0,0,0,0,0,0,0,0
O42130,42,25,30,0,0,0,0,0,0,0,0,0,0,0
O42248,16,9,1,818,1270,1080,1525,673,1,0,0,0,0,0
O42395,0,0,0,0,0,0,0,0,0,0,0,0,0,0
O42398,270,332,278,255,410,346,163,512.687,0,0,0,0,0,0
O42617,0,0,0,0,0,0,0,0,0,0,0,0,0,0
O42646,3,5,6,1,1,0,0,2,0,0,0,0,0,0
O42653,0,0,0,1,0,0,4,8,0,0,0,0,0,0
O42820,0,0,0,0,1,0,0,0,0,0,0,0,0,0
O42851,0,0,0,0,0,0,0,0,0,0,0,0,0,0
O42857,0,6,0,0,0,0,0,1,0,0,0,0,0,0
O42861,0,0,0,1,14,30,0,19.721,0,0,0,0,0,0
O42881,0,0,0,1,5,1,1,0,2,0,0,0,0,0
O42895,0,0,0,2,2,0,0,2,0,0,0,0,0,0
O42897,0,0,0,0,0,0,0,0,0,0,0,0,0,0
O42936,0,2,0,0,0,0,3,0,0,0,0,0,0,0
O42943,0,0,0,0,0,0,0,0,0,0,0,0,0,0
O42993,0,0,0,1,0,0,0,0,0,0,0,0,0,0
O43033,0,0,0,0,7,0,0,4,0,0,0,0,0,0
O43048,0,0,0,0,0,0,0,0,0,0,0,0,0,0
O43049,14,17,15,85,114,145,92,238,0,0,0,0,0,1
O43050,0,0,0,0,0,0,0,0,0,0,0,0,0,0
O43077,0,0,0,0,0,0,0,0,0,0,0,0,0,0
O43093,8,6,8,674,1224,934,689,1009,0,0,0,0,0,0
O43102,13,23,30,111,348,389,192,497,0,0,0,0,0,0
O43120,13,21,5,0,2,0,0,0,0,0,0,0,0,0
O43143,0,0,0,0,2,0,0,0,0,0,0,0,0,0
O43196,0,2,4,0,0,0,0,0,0,0,0,0,0,0
O43246,0,0,0,0,0,0,0,0,0,0,0,0,0,0
O43280,0,0,0,0,1,0,0,2,0,0,0,0,0,0
O43290,0,0,0,0,0,0,0,0,0,0,0,0,0,0
O43293,0,0,0,15,11,10,12,44,0,0,1,0,0,0
O43304,0,0,0,0,0,0,0,0,0,0,0,0,0,0
O43347,0,0,0,0,0,0,0,0,0,0,0,0,0,0
