Entry,USVI_118_A,UVI_092_B,UVI_094_B,UVI_096_B,UVI_108_B,UVI_132_B,UVI_092_C,UVI_094_C,UVI_100_C,UVI_102_C,UVI_104_C,UVI_106_C,UVI_108_C,USVI_118_C,UVI_132_C,UVI_136_C,UVI_138_C,UVI_106_D,M_d6_A,Past_d1_A,Past_d2_A,Past_d3_A,Past_d6_A,Past_d7_A,M_d6_B,O_d1_B,O_d3_B,O_d6_B,O_d7_B,O_d8_B,Past_d7_B,Pstr_d7_B,M_d1_C,M_d3_C,M_d6_C,O_d1_C,O_d3_C,O_d6_C,O_d7_C,O_d8_C
O75899,21,12,15,55,3,0,10.613,25.462,0,38.514,64.99,183.972,191.4,10,194.08,86.077,12,3,0,158,34,33,15,0,0,0,0,0,0,0,0,0,25.895,153.599,62.579,149.365,144.277,119.949,0,105.138
O76083,122,61,36.33,195,3,0,1,4,0,13,3,19,2,2,12,22,4,1,0,480.996,588,279,149,25.885,0,0,0,0,0,0,0,6,0,0,0,7,2,3,1,6
O76512,9,23,3,15,0,0,0,0,0,10,4,0,3,0,5,1,10,6,0,40,45,15,9,3,0,0,0,0,0,0,0,0,1,0,3,0,1,1,0,7
O76924,8,18,3,48,0,0,3,11,0,2,0,0,2,0,2,0,0,5,0,54,32,4,10,11,0,0,0,0,0,0,0,4,3,0,1,39,120,64,70,59
O77404,18,27,25,180,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,149,90,41,81,10,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0
O77821,2,54,42,114,4,0,0,0,0,0,0,0,0,0,17,15,4,0,0,18,15,1,0,2,0,0,0,0,0,0,0,10,8,2,13,0,0,0,0,0
O78410,37,168.312,199,539.375,4,0,0,11,14,42,41,59,66,8,90,44,33,1,0,257,195.982,103,63,5,0,0,0,0,0,0,0,30,9,36,16,21,49,60,39,74
O78490,28.908,11,4,9,0,0,15,19,0,8,0,4,0,1,15,4,5,0,0,214.321,116.874,70.279,92.185,16.303,0,0,0,0,0,0,0,4,0,1,2,132,158,180,98,178
O78516,359.346,619.888,466.475,1617.333,12.137,3.064,0,3,13,46,28,44,68,26,208,119,86,26,0,2941.583,1946.788,783.57,1089.111,95,0,0,0,0,0,0,0,26,7,14,12,2,5,2,1,9
O80358,5,11,14,8,0,0,0,0,0,0,1,0,1,1,4,0,0,0,0,16,10,0,5,2,0,0,0,0,0,0,0,4,0,0,0,3,0,0,0,0
O80396,24,45.519,65,144,0,0,4,6,1,2,0,2,5,7,14,3,17,3,0,133,132,51,29,32,0,0,0,0,0,0,0,6,13,1,8,120,185,65,89,117
O80480,189,16,26,93,1,0,1,0,0,19,7,7,22,0,1,0,3,4,0,927,785,309,418,51,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0
O80513,97,56,77,143,4,0,9,14,25,176,37,117,130,0,48,44,25,8,0,604.947,550.464,182,223,61,0,0,0,0,0,0,0,6,208,232,128,107,313,279,219,355
O80548,32,23.975,25,55,2,0,1,1,1,3,0,12,2,0,38,9,12,1,0,232,191,115,50,22,0,0,0,0,0,0,0,0,1,3,0,0,2,2,9,4
O80763,23,64,26,158,2,0,0,5,84,304.021,164,154,187,6,75,62,50,4.861,0,189,107,45,49,15,0,0,0,0,0,0,0,3,2,3,2,10,6,3,18,5
O80925,18,7,2,18,0,0,18,8,1,27,25,35,32,1,89.004,26,38,5,0,102,130,49,37,3,0,0,0,0,0,0,0,0,101,113,120,92,178,93,47,98
O81148,93,172,134,305,7,0,2,0,0,3,5,14,2,0,8,7,7,8,0,455,271,150,288,42,0,0,0,0,0,0,0,79,1,2,0,0,0,1,0,0
O81304,18,12,11,8,0,0,0,5,2,0,4,0,0,0,2,0,2,0,0,73,68,26,42,9,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0
O81742,118,159,76,248,8,1,0,0,0,0,0,0,0,0,0,0,0,2,0,379,266,139,39,41,0,0,0,0,0,0,0,67,0,0,0,0,0,0,0,0
O82143,21,78,91,201,1,0,0,1,0,1,0,0,0,3,92,60,33,1,0,147,120,68,59,11,0,0,0,0,0,0,0,106,4,1,0,5,3,1,7,2
O82233,89,62,45,169,2,0,0,0,51,349,97,274,374,0,1,2,0,2,0,934,725,441,237,52,0,0,0,0,0,0,0,22,0,1,0,0,0,0,0,0
O82261,36,11,3,17,0,0,0,0,2,8,4,2,9,0,8,1,0,0,0,199,221,103,45,20,0,0,0,0,0,0,0,0,5,12,8,4,3,3,0,24
O82392,594,143,130,311,6,0,4,2,2,10,9,30,6,15,11,10,3,5,0,3308,3370,1504,1253,275,0,0,0,0,0,0,0,28,3,11,18,8,17,9,9,21
O82413,72,110,73,196,4,0,18,18,35,61,62,125,82,7,154,70,67,5,0,229,197,106,88,36,0,0,0,0,0,0,0,43,350,401,452,286,385,494,573,322
O82462,22,104,50,153,8,0,0,2,2,0,2,2,0,2,16,7,9,5,0,215,204,85.587,38,18,0,0,0,0,0,0,0,40,21,32,13,4,3,11,1,6
O82528,778.001,741.092,482.63,1091.851,21,3,134,124,0,1,1,1,1,22,1343,599.559,911,132.503,0,2156,1554,902,1334,300,0,0,1,0,0,0,0,143,3,5,0,3076,3643,3470,4902.065,1766
O82637,32,80,51,109,4,0,1,0,1,6,6,35,7,0,58,29,32,15,0,107,112,30,21,8,0,0,0,0,0,0,0,35,15,27,14,1,11,11,3,6
O82659,42,200.916,107.003,389.942,2,0,1,16,10,60,48,85,71,8,337,146,131,35,0,251,337,184,49,18,0,0,0,0,0,0,0,27,13,20,12,42,111,118,80,179
O82782,14,0,0,0,1,0,0,0,17,66,63,55,48,3,30,10,5,0,0,40,33,2,6,15,0,0,0,0,0,0,0,4,2,7,7,9,4,5,3,6
O83075,13,7,3,13,0,0,0,0,4,2,0,6,0,0,0,2,1,0,0,13,25,15,0,12,0,0,0,0,0,0,0,0,0,2,7,0,0,3,5,3
O83553,10,16,9,35,0,0,2,0,10,28,19,12,27,9,201,80,56,2,0,39,84,58,30,11,0,0,0,0,0,0,0,0,3,12,0,0,1,1,0,2
O85304,91,0,0,0,0,0,0,1,0,6,1,8,3,4,3,1,4,4,0,269,308,111,137,42,0,0,0,0,0,0,0,0,0,2,3,9,7,5,1,17
O86365,20,17,17,47,2,0,1,0,5,8,3,6,2,0,3,0,0,5,0,57.195,52.433,32,12,14,0,0,0,0,0,0,0,0,5,16,17,0,0,1,0,3
O88022,21,92,70,145,5,0,3,3,16,53,28,27,55,7,28,27,20,5,0,79,51,18,5,19,0,0,0,0,0,0,0,21,1,1,2,38,74,45,18,69
O88345,7,46,35,103,0,0,1,7,15,26,9,8,32,0,9,0,0,0,0,59,58,21,7,1,0,0,0,0,0,0,0,6,95,117,98,54,106,76,63,96
O88427,206,59,85,196,2,0,0,1,1,6,1,26,3,8,0,0,0,9,0,807,948.924,481.14,218,105,0,0,0,0,0,0,0,11,3,16,6,4,5,2,1,6
O88445,8,25,12,34,0,0,2,1,0,8,1,12,4,1,31,9,1,3,0,97.211,96,70,33,16.751,0,0,0,0,0,0,0,3,0,1,0,0,12,6,0,10
O88457,473.003,316,213,701,14,0,6,14,4,35,7,27,15,6,171.368,102.636,51,33.195,2,1643,1782.398,906,358.683,217,0,0,0,0,0,0,0,71,56,77,32,24,66,121,30,128
O88502,25,35,39,97,0,0,0,0,0,1,0,3,1,5,174,66,37,2,0,199,224,72,12,18,0,0,0,0,0,0,0,3,8,48,74,3,3,3,1,4
O88554,63,53,48,128,0,0,0,0,3,18,4,14,8,3,13,1,0,4,0,282,334,110,39,31,0,0,0,0,0,0,0,1,1,0,1,1,1,4,0,3
O88587,9,17,25.985,72,2,0,0,1,0,10,4,23,10,0,1,1,3,2,0,7,23,4,0,1,0,0,0,0,0,0,0,9,2,1,0,3,27,7,0,10
O88703,133.916,22,20,52,3,0,4,9,0,7,4,18.292,1,7,12,10,16,0,0,415.984,475.768,181.945,130.879,53.471,0,0,0,0,0,0,0,6,0,0,0,105,127.022,148.04,86,236
O88704,40,47,44,89,0,0,7,0,25,206,73.158,203,265,0,17,24.985,24.763,0,0,213,143,48,37,15,0,0,0,0,0,0,0,20,2,23,2,16,41,22,7,53
O88705,22,86,114,314,6,0,2,0,3,21,4,10,4,4,27,0,24,5,0,192,183,109,26,9,0,0,0,0,0,0,0,18,3,7,0,6,0,0,0,22
O88751,46,127,86,250.817,1,0,2,5,0,0,1,7,0,2,11,7,6,3,0,193,236,107,36,21,0,0,0,0,0,0,0,10,41,43,55,12,4,1,4,6
O89017,317.017,293.159,267.767,755.92,13,1,41,28,2,3,5,16,4,19,9,0,5,3.014,0,708.212,777.988,393.774,424.464,81.916,0,0,0,0,0,0,0,26.959,2.038,1,0,58,91,93,80,51
O93530,28,31,49,100,4,0,0,0,0,0,0,2,0,1,0,0,0,0,0,113,92,76,29,16,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0
O93927,11,23,27,59,3,0,8,16,19,75,23,44,23.794,5,82.494,12.746,29.275,5,0,115,87,52,13,7,0,0,0,0,0,0,0,10,45,83,72,51,134.001,34.286,46,190.001
O93937,427,65,144,237,0,0,81,235,127,578,248,454,479,31,1098,433,384,7,0,2524,1608,523,1617,77,0,0,0,0,0,0,0,26,1788,2936,1655,924,1742,1950,1119,2335
O94235,38,85,98.905,234,4,0,1,1,1,6,1,26,7,1,47,23,14,0,0,206,191,66,21,11,0,0,0,0,0,0,0,20.068,85,164,64,4,8,0,6,8
O94268,21,55,55,94,8,0,0,1,0,1,0,11,3,1,53,24,16,2,0,95,159,54,7,15,0,0,0,0,0,0,0,1,0,0,1,0,1,2,3,0
O94289,41,91,59,161,3,0,0,1,0,0,0,1,0,2,1,1,0,6,0,341,225,134,76,28,0,0,0,0,0,0,0,14,0,0,0,1,0,0,0,3
O94335,354,95,49,175,0,0,0,0,4,3,0,7,9,8,1,0,0,2,0,1198.31,1066.798,578.815,300,85,0,0,0,0,0,0,0,29,1,3,1,23,39,43,15,44
O94383,20,56,37,101,2,0,0,0,0,0,0,14,0,0,0,0,0,2,0,93,136,52,24,8,0,0,0,0,0,0,0,9,0,0,2,0,2,0,0,0
O94432,35.425,88,95.001,207,5,0,5,4,16,29,11,35,45,4,29,8,3,1,0,328.147,318.76,115.999,59,52,0,0,0,0,0,0,0,13,86,60,118,82,105,61,51,56
O94451,61,276.997,264,521,6,1,1,7,63,290.949,138,254,290,5,120,37,43,9,0,295,454.95,132,62,39,0,0,0,0,0,0,0,98,153,154,128.441,0,13,8,1,10.735
O94480,187,230,198,387,2,2,64,150,134,393,159,318,458,5,97,62,59,23,0,625,643,215,184,54,0,0,0,0,0,0,0,37,661,710,761,1143,1602,1167,836,1342
O94481,56.351,114,48.635,173.174,1,0,0,0,0,30,14,15,20,0,6,1,1,5,0,146,267,123,38.684,35,0,0,0,0,0,0,0,35,25,25,26,0,2,1,1,6
O94489,0,35,73.324,145.003,1,0,1,3,1,1,0,5,11,0,27,4,8,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,4,14,86,53,48,55
O94505,15,57,54,85,4,1,0,0,0,0,0,0,2.01,3,54,12,21,7,0,100,82,13,16,4,0,0,0,0,0,0,0,8,0,0,0,8,8,0,3,1
O94580,38,64,23,96,3,0,0,0,1,6,2,9,1,1,14,20,11,0,0,160.578,128.838,68,126.693,16,0,0,0,0,0,0,0,9,0,2,4,0,1,0,0,0
O94628,9,9,18,21,0,1,2,14,12,21,31,48,36,0,55,15,28,2,0,11,34,4,7,4,0,0,0,0,0,0,0,7,44,48,98,89,124,98,60,96
O94673,18,8,3,33,0,0,19,23,0,0,3,3,0,4,34,6,9,0,0,108,135,42,19,13,0,0,0,0,0,0,0,0,0,3,3,154,315,201,184,178
O94738,9,16,13,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,50,20,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
O95180,344.202,272,224,629,10,0,11,11,4,18,2,29,18,1,19,11,6,6,0,1749.415,2051.409,885.013,356.967,154.437,0,0,0,0,0,0,0,72,15,8,11,57,105,36,45,104
O95271,59,191,108,246,3,0,4,7,9,28,8,26,42,10,8,10,9,11,0,263,272,189,49,23,0,0,0,0,0,0,0,25,0,6,1,38,43,61,39,85
O95372,7,98,48,127,2,0,0,0,1,15,3,10,8,0,8,17,12,0,0,27,29,8,5,1,0,0,0,0,0,0,0,22,1,2,0,0,2,0,0,0
O95400,6,16,8,59,3,0,0,0,1,2,1,0,7,0,2,3,1,3,0,42,46,6,2,7,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,1
O95571,185,92,74.062,220.829,3,0,0,1,0,1,0,28,1,0,2,0,0,0,0,662,648.83,277,275,47,0,0,0,0,0,0,0,7.098,2,1,4,0,0,0,0,0
O95671,1,27,9,21,0,0,0,0,0,2,4,2,4,0,8,2,6,0,0,3,9,2,0,3,0,0,0,0,0,0,0,11,0,1,0,2,0,0,0,0
O95714,74,173,102,307.287,0,0,1,5,21,64,25,78,57,0,98.956,48,74,47,0,445,550,262,105,83,0,0,0,0,0,0,0,32,68,65,65.831,7,34,31,6,17
O95985,30.419,151,145,272,7,0,0,0,0,0,0,6,0,0,120,65,77,10,0,134.941,201.698,113,70,5,0,0,0,0,0,0,0,83,77,40,103,30,41,8,1,9
O96099,7,16,10,22,0,0,0,0,3,2,0,10,5,3,3,5,7,7,0,59,42,13,13,3,0,0,0,0,0,0,0,18,0,1,6,2,0,2,4,2
O96876,87,46,43,49,0,0,1,4,1,3,3,1,2,4,3,2,0,0,3,178,211,84,38,40,0,0,0,0,0,0,0,14,2,8,3,2,13,12,5,6
O96952,2,0,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,14,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
O97341,9,84,89,163,0,0,2,0,42,142,95,114,123,2,35,7,9,19,0,22.672,19.935,18,2,11,0,0,0,0,0,0,0,16,12,16,8,3,6,10,16,27
O97860,592.017,1398.923,1113.275,2423.782,117,66,33,66,3,10.526,5,13,14,6,141,44,48,8.001,0,3526.895,2799.113,1240.639,1352.809,271.998,2,158,388,313,325,221,0,155,1,4,0,615,1093,826,642,764
P00110,102.019,2362.885,1270,3185.11,55,1,811,1199,783,2398.61,1961,1977,2172,99,2766.968,1820.969,1767.118,26.425,0,240.28,443.15,131.968,201.54,105.553,0,1,0,0,0,0,0,590,1115,1870,1474,18960,38412.925,25405,47687.992,16106
P00175,14.245,2,2,7,0,0,0,0,0,0,1,0,0,0,2,0,0,22.128,0,100.94,54.765,26.115,23,2,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0
P00516,123,29,30.181,101,0,0,0,2,0,17,5,23,5,5,20,5,10,3,0,410.713,490.729,142.274,97,68,0,0,0,0,0,0,0,2,5,14,11,2,24,0,0,1
P00792,189,28.623,22.534,11.974,1,0,0,3,1,0,0,0,0,0,7,7,1,18,1,443,763,295,75,80,0,0,0,0,0,0,0,0,2,1,3,0,0,0,0,2
P02588,78,22,14,66,0,0,0,0,0,1,0,3,0,0,17,0,0,13,0,441,455.987,152,154,26,0,0,0,0,0,0,0,0,0,0,5,0,0,1,0,0
P02589,153,74,52,186,2,0,6,7,3,38,13,76,29,7,62,28,15,16,0,501,591,267,174,56,0,0,0,0,0,0,0,21,24,39,58,4,10,17,11,27
P02597,278.749,92,50,141,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1260.484,1156.431,546.784,747.297,129.572,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0
P02598,0,17,14,29,0,0,1,2,0,2,0,4,4,0,30,12,3,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,20,1,1,39
P02599,52,65,82,192.991,3,0,0,0,22,144,54,128,169,1,77,35,15,4,0,256,287,93,92,40,0,0,0,0,0,0,0,7,29,27,39,5,11,10,14,14
P02628,2,71,46,148,1,0,0,0,0,0,0,0,0,0,15,11,1,7,0,10,11,6,0,4,0,0,0,0,0,0,0,17,0,0,1,0,0,0,0,0
P02719,208,75,73,205,1,0,10,30,34,264,65.923,224.931,260.93,10,178.833,79.441,49,7,0,943,729,354,370,73,0,0,0,0,0,0,0,25,194,297,133.946,164.911,295,360,160,514
P02980,71,124,90,218,9,0,0,0,0,2,2,16,2,1,11,3,6,7,0,456,593,223,68,58,0,0,0,0,0,0,0,67,0,0,0,0,1,0,0,2
P02981,121.983,259,158,400,10,0,0,2,0,1,2,11,5,6,6,4,0,9,0,357,402,136,161,38,0,1,0,0,0,0,0,80,6,3,4,5,4,3,2,2
P02982,139.168,297,241,458,14,0,41,50,171,378,302,430,608,12,55,37,27,18,0,473,568,215,114,90,0,0,0,0,0,0,0,46,0,3,3,78,272,96,71,111
P04078,85.346,38.301,42.438,58.77,2.307,0,9.136,36.495,0,4.595,0,7.874,9.061,2.529,339.748,220.486,201.807,2,0,428.015,459.677,185.94,217.443,18,0,0,0,0,0,0,0,0,402.583,461.832,330.284,207.705,621.743,601.398,297.833,603.283
P04630,342.003,148,173,504,3,0,3,40,36,73,24,70,82,4,135,109,110,16,2,1493.779,1534.653,604.911,325.167,185,0,0,0,0,0,0,0,13,308,319,297,95,79,43,34,116
P04839,0,18,21,48,1,0,0,2,3,5,0,2,0,0,10,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,1,0,2,0,7
P04919,735.761,41,36,64,0,0,51,128,13,32,9,45,32,9,70,28,24,0,0,4401.721,3326.964,1436.308,1430.997,165.986,0,0,0,0,0,0,0,4,630,819,590,859,1696,1647,1190,1449
P05102,3,17,13,25,0,0,0,0,0,1,0,0,0,0,2,3,0,3,0,4,6,1,7,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0
P05132,196,136,85.103,251.271,2,3,23,76,72,402,123,289,417,8,60,27,14,5,0,654,512,248,157,70,40,17,20,28,5,21,0,11,4,5,4,499,978,994,608,1159
P05434,92,55,31,108,3,0,0,2,22,98,24,82,104,4,17,3,5,9,0,452.05,448.45,148.553,55,34,0,0,0,0,0,0,0,5,7,10,8,9,23,27,5,10
P05438,133,129,51,157,7,0,0,3,0,0,0,0,0,2,4,3,1,2,0,377,406,196,105,42,0,0,0,0,0,0,0,20,0,0,0,1,9,2,6,1
P05714,6,7,10,19,0,0,4,8,0,3,0,0,0,0,4,1,1,0,0,32,47,7,0,3,0,0,0,0,0,0,0,0,0,0,0,43,115,59,64,121
P05934,100,146,112,289,15,0,0,2,0,8,2,16,14,4,15,7,4,23.332,2,579,510,221,129,102,0,0,0,0,0,0,0,33,19,25,25,11,9,9,0,5
P06197,21,18,35,48,3,0,0,1,20,58,32,77,68,1,1,0,2,0,0,103,101,16,39,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,2
P06660,0,30,53,133.857,2,0,0,0,1,12,2,1,2,3,6,2,1,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,11,2,0,6
P06795,12.232,12,32,79,2,0,0,0,0,0,0,0,0,0,0,0,0,12,0,81.849,31.125,16.798,43.349,0,0,0,0,1,0,0,0,18,0,0,0,0,0,0,0,0
P07259,38,43,34,94,1,0,0,1,9,56,16,35,19,2,8,2,4,36,3,472.236,342,158,271,23,0,0,0,0,0,0,0,0,349.358,416.667,327,0,0,0,0,3
P07260,63,62,73,181,1,0,1,3,1,3,2,16,4,6,7,1,0,6,0,430.663,412,213,90.192,34,0,0,0,0,0,0,0,0,3,1,8,10,11,9,8,6
P07334,6,20,13,56,0,0,0,0,0,0,0,3,0,0,0,0,0,8,0,139.135,133.87,61,48.679,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P07850,95,11,8,41,3,0,1,0,0,7,0,4,3,0,1,0,0,13,0,379,370,165,188,21,0,0,0,0,0,0,0,0,1,0,1,5,6,1,0,8
P07983,103,57.913,28.953,181.854,2.997,0,0,0,0,1,0,6,1,0,10,0,1,10,0,442,383,209,96,26,0,0,0,0,0,0,0,0,0,1,1,0,1,2,0,0
P08096,305,80,39,136,1,0,2,3,4,15,12,30,8,3,5,4,4,22,0,1465.805,1709.567,737,275,128,0,0,0,0,0,0,0,18,2,1,3,21,8,11,0,19
P08183,673.642,117,109,244.327,9,0,13,45,3,61,6,68,43.001,13,741.011,363,313,43,0,3160.98,2045.088,916.202,1543.651,128,0,0,0,0,0,0,0,12,105,151,102.016,180,526,740,499,797
P08201,662.537,45.695,40.921,143.745,2,0,0,0,10,21,2,47,48,0,3,1,0,31.55,0,6098.478,3037.043,1195.404,1617.204,95.814,0,0,0,0,0,0,0,0,17,36,12,2,4,1,1,0
P08414,45,0,0,7,0,0,2,0,7,9,14,17,18,1,0,1,0,6,0,153,145,15,72,15,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0
P08965,337.813,193.879,149.28,265.315,4.276,0,7,5,19,103,39,71,92,28,904.888,484,332,43,0,2222.901,1786.517,737.693,818.475,97.746,0,0,0,0,0,0,0,27,178,203,164,16,56,52,47,106
P08976,2879.209,153.245,145.569,406.433,25,5,39.571,28.217,834.001,2304.001,1535.57,2621,2961.515,22,1490.526,810.761,876.92,19.98,0,16467.476,12601.995,5011.802,8868.171,719.32,0,0,1,0,0,3,0,64,879.465,1288,1030.862,148.631,343.098,580.006,587.401,288.896
P08995,22,34,49,98,0,0,15,37,89,603,214,397,426,4,2317.677,1033,796,10,0,68,61,17,10,3,0,0,0,0,0,0,0,17,1314,1931,1165,251,556,678,611,498
P09189,164.43,20,16,26,0,0,0,0,0,0,0,0,0,0,0,0,0,3.251,0,1384.831,652.208,252.274,474.534,24.574,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0
P09398,39,23,6,39,1,0,1,5,13,9,20,7,15,0,57,15,10,0,0,123,140,72,15,20,0,0,0,0,0,0,0,8,7,4,11,9,5,5,0,25
P09437,939.755,450.513,329.265,1357.348,16.578,5,363.59,651.277,521.722,1546.235,910.199,1971.125,2160.846,44.305,2620.476,1497.532,1064.18,124.93,0,4905.059,3659.235,1707.885,2314.999,274,0,2,5,1,2,2,0,97.052,4621.641,7248.766,4649.145,4435.632,8689.301,9172.79,8236.553,9456.383
P09622,370,39,42,172,2,0,0,0,0,1,0,0,0,1,34,12,12,2,0,1496,1295,529,659,148,0,0,0,0,0,0,0,6,0,0,0,0,4,0,0,1
P09889,289,295.305,208.153,529.523,8,0,514,346,367,1432,631,1319,1498.917,89,1819.003,759,801,68.002,0,1353,1323,562,235.006,121,0,0,0,0,0,0,0,11,4144,5836.276,3780,3302,6034,8058.998,8721,6382
P0A357,110,12,18,57,0,0,7,27,52,184,99,199,220.003,13,84,40,27,3,0,590,582,240.803,356,78,0,0,0,0,0,0,0,0,81,133,84,140,267,287,229,333
P0A5F6,18,79,67,123,6,0,2,14,14,33,14,38,42,0,21,13,16,4,0,36,35,24,7,1,0,0,0,0,0,0,0,27,43,36,48,45,74,70,35,118
P0A962,32,0,0,15,0,0,0,0,2,0,0,2,0,1,94,44,49,0,0,37,43,18,30,16,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,2
P0A9H7,162,85,44,135,3,1,1,0,7,17,4,17,28,2,192,105,99,3,0,484.957,489,198,163,119,0,0,0,0,0,0,0,3,3,6,11,3,11,13,3,22
P0A9L5,24,0,2,13,0,0,0,0,0,2,0,0,4,0,2,0,4,0,0,91,81,43,21,6,0,0,0,0,0,0,0,0,1,0,0,1,0,2,4,4
P0A9T5,37,60,62,120,6,0,24,44,30,117,104,113,140,12,126,60,76,2,0,148,166,59,16,28,0,0,0,0,0,0,0,10,242,231,304,328,577,247.992,252,362
P0AAD5,99,23,22,46,0,0,7,21,15,64,23,48,73,3,107,73,42,8,0,590,485,189,219,28,0,0,0,0,0,0,0,0,86,123,150,62,168,113,77,270
P0AB70,12,41,48,122,5,0,0,0,0,0,0,8,0,0,0,0,0,0,0,57,44,4,5,0,0,0,0,0,0,0,0,7,0,0,0,0,1,0,0,0
P0AC59,45,181,101,264,12,0,20,16,3,6,3,7,2,2,15,6,9,0,0,161,178,65,19,25,0,0,0,0,0,0,0,16,23,19,11,10,20,8,1,10
P0ACA9,26,12,13,37,1,0,0,0,0,1,0,0,1,1,14,0,3,1,0,102,68,55,12,13,0,0,0,0,0,0,0,4,0,0,0,0,0,0,1,0
P0AE94,117,6,8,27,0,0,0,0,0,0,0,9,1,0,1,0,4,8,0,331,290,130,149,49,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0
P0AEB5,60.364,79,57,198,9,0,0,1,49,249,85,154,229,2,285,156,85,9,0,255,312,93,57,48.563,0,0,0,0,0,0,0,12,483,637,409,9,10,7,1,14
P0AEP1,930.204,95,90,258,2,0,1,0,0,137,1,119,112.194,0,25,9,2,42,0,3264.142,2200,491,1581,136,0,0,0,0,0,0,0,10,9,34,12,3,9,6,0,11
P0AEQ1,65,185,129,218,3,1,0,2,0,0,0,5,0,3,34,8,13,0,0,251,253,129,231,41,0,0,0,0,0,0,0,26,0,0,0,7,3,4,5,10
P0AFR6,10,37,29,55,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,30,34.001,11,13,2,0,0,0,0,0,0,0,5,19,13,42,0,0,0,0,0
P0AFS6,59,166.61,148.888,298.819,4,0,0,4,2,12,9,16,10.005,10,23,17,8,3,0,175,327,132,39,21,0,0,0,0,0,0,0,35.766,39,72,43,23,18,19,24,23
P0AG15,63,46,37,74,0,0,71,115,131,448,336,528,536.995,7,742,499,332,38,0,200,333,90,145,44,0,0,0,0,0,0,0,6,718,1112,899,1080,1570,1365,1496,1226
P0AGM0,84,21,23,47,2,0,0,0,4,3,3,12,0,3,483,268,223,10,0,248,286,106,88,25,0,0,0,0,0,0,0,0,1,4,3,16,43,18,10,30
P0C0L7,83.996,9,3,0,0,0,0,5,10,27,16,26,33,7,3,0,3,0,0,217.949,98.005,81.793,177.005,6,0,0,0,0,0,0,0,29.255,0,0,0,4,2,13,4,21
P0C1I7,11.125,97,64,155,3,0,1,2,3,15,6,6,6,0,4,2,0,2,0,65.967,71.625,37,3,7,0,0,0,0,0,0,0,43,40,27,19,30,44,40,12,33
P0C605,298,259.909,259.487,674.656,13,0,28,63,8,43,19,27,25,12,218,108,89,22,0,1518,1623.96,742.994,527.056,105,0,0,0,0,0,0,0,28,25,44,26,274,534,630,465,814
P0C6B8,29,826.587,555.15,1401.612,33,0,3,6,14,52,27,72,73.605,10,404.604,166.271,145.092,52.617,0,155,113,48,29,7,0,0,0,0,0,0,0,148.333,46,62,47,15,47,85,15,102
P0C6E7,13,27,9,27,1,0,3,2,0,3,0,0,0,1,4,15,3,0,0,49,100,39,2,16,0,0,0,0,0,0,0,4,0,0,0,30,57,32,7,29
P0C6F1,0,2,0,4,0,0,6.581,29.646,82.974,260.793,165.747,284.462,357.537,5,169.336,40.083,61.568,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,577.392,682.799,615.856,242.422,387.497,409.643,402.2,418.1
P0C7Q1,42,48,47,72,2,0,0,1,0,0,0,6,0,0,23,7,15,2,0,230.528,292.541,103.423,63,22,0,0,0,0,0,0,0,20,0,3,0,0,11,9,4,14
P0C872,75,83,104,176,13,0,3,2,9,44,12,18,25,12,32,14,14,6,0,278,321,127,51,51,0,0,0,0,0,0,0,17,18.957,26,11,19.766,52.814,30,15,42
P0C8M8,128.349,134,80,291,5,0,7,20,4,42,16,25,25,6,23,4,10,6,0,582.368,646.673,226.479,209.356,66.459,0,0,0,0,0,0,0,39,13,17,10,59,170,156,146,199
P0CAZ0,44,31,29,72,2,0,2,10,0,18,3,15,14,5,70,58,29,3,0,86,101,104,41,29,0,0,0,0,0,0,0,6,2,8,9,21,55,22,31,93
