Entry,UVI_092_B,UVI_094_B,UVI_096_B,UVI_100_B,UVI_102_B,UVI_104_B,UVI_106_B,UVI_108_B,USVI_118_B,UVI_132_B,UVI_136_B,UVI_138_B
Q9CAI1,25,23,86,0,0,0,0,0,0,0,0,0
Q9CAI5,125,91,231,0,0,0,0,3,1,0,0,0
Q9CAK8,10,13,19,0,0,0,0,0,0,0,0,0
Q9CAM8,0,0,0,0,0,0,0,0,0,0,0,0
Q9CAN0,28.867,20.011,43,0,1,0,0,0,0,0,0,0
Q9CAN5,48,49,82,0,4,0,0,0,0,0,0,0
Q9CAN6,12,4,20,0,0,0,0,1,0,0,0,0
Q9CAR3,12,12,49,0,0,0,0,2,1,0,0,0
Q9CD87,135.3,89.866,222.879,0,0,0,1,10.614,0,0,0,0
Q9CD89,37,24,21,0,0,0,0,0,0,0,0,0
Q9CL21,9,18,25,0,0,0,0,0,1,0,0,0
Q9CM51,45,24,63,0,0,0,0,0,0,0,0,0
Q9CNP9,18,16,28,0,0,0,0,0,0,0,0,0
Q9CPE0,10,6,17,0,0,0,0,0,0,0,0,0
Q9CPW0,97,86,185,0,0,0,0,5,3,0,0,0
Q9CPW7,236.019,207,280,0,0,0,0,17,0,0,0,0
Q9CQ46,75,67,110,0,0,0,0,1,0,0,0,0
Q9CQ79,44,31,94,0,0,0,0,3,0,0,0,0
Q9CQD1,26,35,45,0,2,0,0,5,0,0,0,0
Q9CQF6,12,17,53,0,0,0,0,1,1,0,0,0
Q9CQF9,0,0,0,0,0,0,0,0,0,0,0,0
Q9CQL0,23,24,60,0,0,0,0,0,0,0,0,0
Q9CQQ8,0,4,2,0,0,0,0,1,0,0,0,0
Q9CQR4,51,44,87,0,6,0,0,7,0,0,0,0
Q9CQW0,46,30,65,0,2,0,0,3,0,0,0,0
Q9CR35,10,5,22,0,1,0,0,2,0,0,0,0
Q9CR40,0,9,2,0,0,0,0,0,0,0,0,0
Q9CR42,89,83,207,0,0,0,0,1,0,0,0,0
Q9CR80,109,72,133,0,0,0,0,1,0,0,0,0
Q9CR92,1,3,2,0,0,0,0,2,0,0,0,0
Q9CRA4,15,9,32,1,1,0,0,1,3,0,0,0
Q9CRB6,59,46,100,0,5,0,2,0,0,1,0,0
Q9CU62,86,145,329,0,3,2,0,2,1,0,0,0
Q9CVD2,21,25,56,0,0,0,0,0,0,0,0,0
Q9CWB7,0,2,9,0,0,0,0,0,0,0,0,0
Q9CWF6,116,106,154,0,0,0,0,1,0,0,0,0
Q9CWH5,9,4,13,0,0,0,0,2,0,0,0,0
Q9CWL8,40,34,78,0,5,0,0,0,0,0,0,0
Q9CWN7,7,8,7,0,0,0,0,0,0,0,0,0
Q9CWR2,81,33,126,0,0,0,0,3,0,0,0,0
Q9CWU2,4,9,31,0,0,0,0,0,0,0,0,0
Q9CWV0,4,5,4,0,0,0,0,0,0,0,0,0
Q9CWX9,28,26,97,2,0,0,0,1,1,1,0,0
Q9CX86,6,1,4,0,0,0,0,0,0,0,0,0
Q9CXW3,51,24,98,0,0,0,0,0,1,0,0,0
Q9CY45,30,38,76,0,0,0,0,0,0,0,0,0
Q9CY62,83,73,161,0,0,0,1,8,0,0,0,0
Q9CYG7,5,0,3,0,0,0,0,0,0,0,0,0
Q9CYL5,102,50,128,0,0,1,0,7,0,0,0,0
Q9CYW4,11,8,34,0,0,0,0,0,0,0,0,0
Q9CZD3,269,153,406.232,1,3,0,4,8,0,0,0,0
Q9CZS3,23,12,73,0,0,0,0,0,0,0,0,0
Q9D099,33,27,76,0,0,0,0,0,0,0,0,0
Q9D0B0,51,47,77,0,0,0,0,0,0,0,0,0
Q9D0D4,8,8,37,0,0,0,0,0,0,0,0,0
Q9D0L4,14,13,45,0,0,0,0,0,0,0,0,0
Q9D0P8,135,88,251,1,0,0,0,0,0,0,0,0
Q9D106,58,50,126,0,0,0,0,0,1,0,0,0
Q9D119,291,232,457,0,0,0,0,11,1,0,0,0
Q9D136,2,0,9,0,0,0,0,0,0,0,0,0
Q9D180,37,33,125.402,0,3,0,0,1,0,0,0,0
Q9D187,56,42,67,0,0,0,1,4,0,0,0,0
Q9D1D4,32,49,82,0,0,0,0,9,0,0,0,0
Q9D1J1,17,14,28,0,0,0,0,2,0,0,0,0
Q9D291,47,34,64,0,1,0,0,0,2,1,0,0
Q9D2H2,225,129,302,0,2,0,2,8,4,0,0,0
Q9D2U5,12,10,25,0,0,0,0,1,0,0,0,0
Q9D2V5,65,37,108,1,0,0,0,2,1,1,0,0
Q9D2Y9,5,2,10,0,0,0,0,0,0,0,0,0
Q9D306,26,15,39,0,0,0,0,0,1,0,0,0
Q9D309,49.957,28,70,1,0,0,0,4,0,0,0,0
Q9D3J5,44,44,96,0,0,0,0,0,0,0,0,0
Q9D439,26,27,66,0,0,0,0,4,2,0,0,0
Q9D4C9,19,7,46,0,0,0,0,0,0,0,0,0
Q9D4D4,39,30,140,0,0,0,1,6,1,0,0,0
Q9D531,16,5,38,0,0,0,0,0,1,0,0,0
Q9D534,120,61,170,0,0,0,0,4,1,0,0,0
Q9D565,42,36,112,0,5,0,0,0,2,0,0,0
Q9D572,7,5,12,0,1,0,0,0,0,0,0,0
Q9D6H2,96,82,183,0,3,0,0,1,0,0,0,0
Q9D6P8,155,117,290,0,2,0,0,5,0,1,0,0
Q9D6T1,0,3,4,0,0,0,0,0,0,0,0,0
Q9D706,36,25,71,0,0,0,0,0,0,0,0,0
Q9D753,40,18,22,0,0,0,0,0,0,1,0,0
Q9D7H2,46,14,51,0,0,0,0,6,0,0,0,0
Q9D7H3,18,3,19,0,2,0,0,0,0,0,0,0
Q9D7M8,67,12,72,0,0,0,0,8,0,0,0,0
Q9D7R7,101.175,89,185,0,3,0,0,6,0,0,0,0
Q9D7X3,12,10,26,0,0,0,0,0,0,0,0,0
Q9D826,1,0,3,0,0,0,0,0,0,0,0,0
Q9D832,20,3,22,0,0,0,0,0,0,0,0,0
Q9D8U7,48,22,55,0,1,0,0,0,0,0,0,0
Q9D8W5,80,62,181,0,0,0,0,0,0,1,0,0
Q9D8Z1,12,16,23,0,0,0,0,2,1,0,0,0
Q9D967,57,33,53,0,0,0,1,0,0,0,0,0
Q9D994,3,0,19,0,0,0,0,0,0,0,0,0
Q9D9T8,26,16,79,0,0,0,0,0,0,0,0,0
Q9D9X6,29,28,53,0,0,0,0,1,0,0,0,0
Q9DA39,37,38,89,0,7,0,0,14,6,1,0,0
