Entry,UVI_092_C,UVI_094_C,UVI_096_C,UVI_100_C,UVI_102_C,UVI_104_C,UVI_106_C,UVI_108_C,USVI_118_C,UVI_132_C,UVI_136_C,UVI_138_C
P42720,0,0,0,3,18,6,10,26,1,1,0,3
P42730,2,6,0,2,21,1,113,31,15,64,40,14
P42731,0,0,0,0,17,7,9,17,1,0,4,2
P42784,5,2,0,2,1,0,1,0,1,9,0,4
P42824,0,0,0,0,2,0,7,3,7,8,10,9
P42825,0,4,0,3,3,9,4,5,0,2,0,0
P42840,0,0,0,9,49,13,33,33,2,0,4,4
P42856,1,1,0,18,41,35,34,66,1,1,1,2
P42867,6,8,0,12,62,22,40,58,1,121,52,38
P42942,0,1,0,0,2,7,5,4,0,0,0,0
P43063,0,12,0,0,0,1,5,0,2,0,4,18
P43080,0,0,0,0,5,2,9,11,2,44,19,16
P43156,50,30,56,0,1,0,2,1,0,0,0,0
P43157,0,0,0,0,0,0,12,0,0,0,0,0
P43159,0,0,0,1,0,0,5,3,3,0,4,0
P43188,11,4,32,0,0,0,7,0,0,16,2,4
P43242,0,2,0,0,0,0,0,0,0,3,7,0
P43255,0,0,0,0,0,0,0,0,0,0,0,0
P43270,0,0,0,0,0,0,1,0,0,0,0,0
P43297,0,1,0,5,5,5,7,21,4,52,23,23
P43317,47,44,54,3,20,2,69,18,25,10.075,10,9
P43329,39,35,59,0,0,0,0,0,0,0,0,0
P43333,0,1,0,0,0,0,3,1,4,10,2,0
P43368,15,8,11,1,34,9,30,55,1,26,3,2
P43379,0,0,0,0,0,0,0,0,0,0,0,0
P43386,0,0,0,0,0,0,0,0,0,0,0,0
P43388,14,36,1,31,77,54,88,71,2,25,1,5
P43394,0,1,0,0,0,0,0,0,2,1,0,0
P43395,2,1,3,4,8,0,0,3,13,3,1,0
P43487,18,54,0,51,377,69,173,254,2,165,86,68
P43490,5,1,0,27,116.997,35.809,44.317,75,4,28,1,13
P43510,0,0,0,0,0,0,2,0,0,0,0,0
P43524,7,13,1,140.873,650.465,332,568,401,22,384.003,222,179
P43558,0,2,0,2,10,1,1,0,0,16,11,3
P43645,0,0,0,1,0,7,1,1,0,27,17,14
P43646,15,15,0,38,129,52,95,125,4,139.323,66.817,41
P43780,0,0,0,0,0,0,6,0,0,0,0,0
P43783,0,0,0,10,19,4,53,22,2,9,9,5
P43860,0,0,0,0,1,5,3,6,5,112,33,33
P44094,0,0,0,0,17,5,3,1.217,0,0,0,0
P44121,0,0,0,9,34,20,54,67,0,55,39,44
P44426,15,14,0,16,32,46,78,62,0,120,49,86
P44429,23.612,3.67,0,42.018,93.216,94.704,141.879,142.155,8.093,325.539,198.313,150.488
P44433,0,0,0,0,0,0,0,0,0,0,0,0
P44480,0,0,0,3,6,6,3,4,1,3,2,2
P44501,0,0,0,0,0,0,1,0,0,0,0,0
P44573,0,0,0,0,11,9,8,5,0,36,17,1
P44589,1,0,0,0,0,0,0,0,0,5,0,2
P44646,0,0,0,0,0,0,2,0,2,25,3,11
P44659,0,0,0,3,19,6,10,14,2,0,0,0
P44681,0,0,0,2,0,0,5,0,2,5,4,2
P44694,0,0,0,0,0,0,0,0,0,0,0,0
P44740,0,0,0,0,0,0,1,0,0,0,0,0
P44910,1,8,26,144,395,219,471,468.997,3,36,12,20
P45124,0,0,0,0,0,0,1,0,0,0,0,0
P45127,0,0,0,22,44,27,2,4,3,24,18,27
P45192,5,4,0,30,130.273,33.963,86,117.493,0,481.873,216.083,211.539
P45295,0,0,0,0,2,0,0,0,1,0,0,1
P45369,0,1,0,0,9,13,7,8,0,1,4,0
P45479,3,7,0,1,0,2,0,6,0,40.422,25.548,7.159
P45510,0,2,0,1,0,4,0,1,0,4,0,2
P45524,0,0,0,0,0,0,1,0,0,0,0,0
P45623,48,49,33,60,155,75,175,194,0,504,293,278
P45701,0,1,0,2,5,1,0,0,0,8,13,6
P45745,0,0,0,0,2,3,1,0,0,39,8,7
P45798,4,3,10,1,7,2,3,10,19,45,25,25
P45844,0,0,0,0,0,0,16,0,0,0,0,0
P45856,0,0,0,0,0,0,0,0,0,0,0,0
P45862,4,5,1,11,32,17,35,65,1,78,55,48
P45894,0,0,0,0,0,0,0,0,0,0,0,0
P45946,0,0,0,0,1,0,15,0,2,14,6,0
P45951,1,2,0,0,0,0,0,0,3,3,1,0
P45963,0,0,0,4,5,4,13,4,0,7,3,7
P45974,0,0,0,0,4,2,4,6,1,11,4,3
P45982,6,0,0,0,3,0,0,2,4,4,0,0
P46032,0,0,0,0,0,0,0,0,0,0,0,0
P46087,0,0,0,0,0,0,2,0,0,0,0,0
P46250,0,0,0,0,14,2,4,13,0,15,0,1
P46257,4,0,10,0,0,0,0,0,0,0,0,0
P46276,2,2,2,0,0,0,0,0,0,0,0,0
P46279,0,0,0,0,0,0,0,0,0,0,0,0
P46284,0,0,0,0,0,0,3,0,0,0,0,0
P46285,114,254,4,0,1,1,0,1,8,2,1,0
P46293,85.38,117,0,52,106,93,157,111,9,141.697,66.517,190.877
P46313,10,13,0,2,6,2,14,11,17,119,75,53
P46327,28,11,29,0,1,0,0,1,0,2,1,0
P46351,0,0,1,0,5,0,1,0,0,1,0,0
P46436,529,523,553,38,170,85,112.997,145,61,805,567,502
P46541,0,0,0,0,0,0,0,0,0,0,0,0
P46544,0,0,0,0,0,0,1,0,0,0,0,0
P46598,0,0,0,0,0,0,3,0,0,0,0,0
P46645,0,0,0,0,0,0,11,0,0,0,0,0
P46683,0,0,0,0,0,0,0,0,0,8.371,11.154,14
P46734,0,0,0,0,16,6,3,3,0,0,3,0
P46757,0,0,0,0,0,0,0,0,0,0,0,0
P46793,342,470,2,198,422,460,303,349,27,445,154.042,158
P46794,44,59,3,6,21,16,42,36.098,32,29,8,11
P46822,6,1,0,3,24,7,44,18,3,21.795,9,3
P46824,2,7,3,12,29,9,34,28,1,28,5,8
P46825,0,0,0,0,0,0,1,0,0,1,5,0
P46837,3,1,0,3,22,14.285,22,26.113,0,254.596,85,140
P46850,1,1,0,4,31,18,29,25,0,27,20,5
P46863,1,8,0,1,10,6,11,1,0,185,80,76
P46865,0,0,0,0,0,0,2,0,0,0,0,0
P46869,15,29,0,152,543,277,478,733,8,36,9,15
P46870,10,31,1,0,1,0,3,0,0,3,3,3
P46871,0,4,0,6,68,26,39,52,3,68,41,15
P46872,7,27,0,5,15,2,13,18,12,81,47,18
P46873,0,0,0,0,0,0,0,0,0,0,0,0
P46875,1,3,0,4,64.243,11,68.199,45.972,0,31,16,11
P46892,0,0,0,0,5,3,0,0,0,0,0,0
P46896,0,2,0,1,9,2,2,4,2,0,5,0
P46915,0,0,0,2,1,8,19,7,0,8,3,4
P46935,0,2,0,1,0,2,4,2,1,11,5,4
P46942,11,10,11,21,47,23,90.653,66,8,67,31,50
P46953,0,0,0,0,0,0,4,0,0,0,0,0
P46975,2,4,0,0,1,0,4,2,0,10,2,0
P46976,0,0,0,0,0,0,0,0,0,0,0,0
P47047,0,6,0,7,32,12,17,18,1,12,10,3
P47075,0,0,1,0,0,0,9,0,0,0,5,0
P47082,13,11,26,0,0,0,0,0,0,0,0,0
P47124,0,0,0,0,0,0,2,0,0,0,0,0
P47179,4,8,0,25,29,13,36,40,0,89.622,86.215,62.908
P47194,0,0,1,0,0,1,0,0,0,1,0,0
P47198,24.715,19.87,0,182.069,287.322,223.496,177.452,263.697,3.584,516.105,261.175,327.446
P47270,0,0,0,0,0,0,0,0,0,4,0,0
P47727,0,0,0,0,0,1,3,4,0,5,6,0
P47739,7,15,11,0,0,0,4,2,0,0,0,0
P47758,9,22,1,20,59,34,88,94,0,55,12,15
P47807,0,0,0,0,0,0,0,0,0,0,0,0
P47808,1,1,0,1,9,4,23,16,2,22,15,2
P47816,0,0,0,4,8,0,0,0,0,0,0,1
P47827,0,0,0,0,1,0,1,1,0,8,1,1
P47961,38,21,74,0,2,0,0,1,0,0,0,0
P47973,0,0,0,2,12,4,6,2,7,40,33,5
P47976,9,15,0,18,155,30,100,147,0,43,10,8
P47979,42,55,3,78,299,226,281,304,6,514,310,261
P47980,1,5,0,0,0,11,2,5,0,13,1,3
P47990,0,0,0,0,1,3,0,1,0,14.724,9,4
P48034,0,0,0,0,0,0,0,0,0,0,0,0
P48038,0,0,0,0,0,0,2,0,0,0,0,0
P48051,0,0,0,0,0,0,10,0,0,0,0,0
P48053,0,0,0,0,5,11,9,11,0,34,7,14
P48101,92,71,129,102,336,171,261,321,1,0,1,1
