Entry,M_c1_C,M_c3_C,M_c5_C,M_c6_C,M_c7_C,M_c8_C,O_c1_C,O_c2_C,O_c3_C,O_c6_C,O_c7_C,O_c8_C,Past_c1_C,Past_c5_C,Past_c6_C,Past_c7_C,Pstr_c3_C,Pstr_c5_C,Pstr_c7_C,Pstr_c8_C,UVI_081_C,UVI_083_C,UVI_085_C,UVI_087_C,UVI_089_C,UVI_091_C,UVI_093_C,UVI_095_C,UVI_097_C,UVI_099_C,UVI_103_C,UVI_105_C,UVI_107_C,USVI_109_C,USVI_111_C,USVI_117_C,UVI_129_C,UVI_131_C,UVI_133_C,UVI_135_C,UVI_137_C
Q8N5T2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,6,0
Q8N653,0,3,1,0,0,1,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91,99,141,173,0,0,0,4,2,8,10,2
Q8N6D5,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
Q8N6F8,1,0,1,1,0,0,284,164,567,238,177,378.054,1,0,0,0,0,0,0,0,0,0,0,0,0,9,9,0,35,33,10,28,45,0,0,0,61,162,65,140.61,56
Q8N6M0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,2,8,13,0,0,0,8,1,4,4,0
Q8N6R0,8,17,15,17,10,18,18,13,27,15,13,34,0,0,0,0,0,0,0,0,7,8,5,6,7,0,0,0,6,1,0,0,1,0,0,0,108,104,142,133,120
Q8N7N5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Q8N7U6,1,4.522,0,3,1,0,6,7,1,3,0,6,0,0,0,0,0,0,0,0,0,1,0,0,2,3,0,0,6,0,27,46,65,0,0,0,124,177,203,161,67
Q8N841,0,2,0,3,16,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,5,2,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0
Q8N8A2,0,1,3,0,2,1,3,183,6,2,0,3,1,0,0,0,0,0,0,0,1,0,1,2,4,0,0,0,0,0,0,2,10,0,0,2,4,8,7,22,10
