"","USVI_118_A","UVI_092_B","UVI_094_B","UVI_096_B","UVI_108_B","UVI_132_B","UVI_092_C","UVI_094_C","UVI_100_C","UVI_102_C","UVI_104_C","UVI_106_C","UVI_108_C","USVI_118_C","UVI_132_C","UVI_136_C","UVI_138_C","UVI_106_D","M_d6_A","Past_d1_A","Past_d2_A","Past_d3_A","Past_d6_A","Past_d7_A","M_d6_B","O_d1_B","O_d3_B","O_d6_B","O_d7_B","O_d8_B","Past_d7_B","Pstr_d7_B","M_d1_C","M_d3_C","M_d6_C","O_d1_C","O_d3_C","O_d6_C","O_d7_C","O_d8_C"
"Q9JLY7",738,14,6,35,4,0,0,0,1,0,0,0,0,1,1,0,0,4,0,1179,1110,431,561,91,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0
"Q9JM15",101,5,8,17,0,0,0,1,1,11,3,1,7,0,0,8,13,39,0,543,330,142,232,15,0,0,0,0,0,0,0,0,136,84,150,2,16,3,11,9
"Q9JM83",399,165,119,366,0,1,2,11,0,5,1,21,3,18,11,14,2,21,0,1672,1454,664,509,175,0,0,0,0,0,0,0,49,11,6,13,78,119,118,97,117
"Q9JMC3",4,18,7,8,4,0,0,0,0,0,0,2,0,0,2,3,1,3,0,55,109,53,0,10,0,0,0,0,0,0,0,6,0,0,0,0,8,0,0,11
"Q9KG32",10,9,6,18,0,0,0,1,0,0,0,0,0,1,0,0,0,4,0,53,82,45,42,15,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"Q9L4Q7",19,25,11,29,0,0,3,4,0,0,0,0,0,0,0,0,4,0,0,41,48,15,10,7,0,0,0,0,0,0,0,12,0,0,0,6,31,6,8,12
"Q9L7R4",2,4,6,31,2,0,3,4,3,1,1,1,0,1,23,8,4,4,0,150,213,69,36,0,0,0,0,0,0,0,0,0,0,0,0,21,13,20,11,22
"Q9LBG2",19,54,48,90,2,0,0,1,1,2,0,0,0,0,38,8,4,10,0,433,374,125,100,43,0,0,0,0,0,0,0,21,0,0,13,0,0,1,0,0
"Q9LD55",42,50,48,129,1,0,1,3,0,4,0,0,0,3,1,0,0,7,0,487,370,219,157,11,0,0,0,0,0,0,0,12,10,2,5,4,2,3,1,4
"Q9LDH3",31,24,15,42,0,0,0,0,1,0,2,0,0,1,2,0,0,0,0,113,139,61,25,14,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0
"Q9LDI3",4,6,5,46,1,0,0,0,12,7,97,38,37,0,1,1,1,0,0,577,579,264,117,98,0,0,0,0,0,0,0,42,0,0,0,0,0,0,0,0
"Q9LDK9",7,2,5,3,12,0,81,111,1,1,3,3,4,6,8,4,1,16,0,116,127,49,1,0,0,0,0,0,0,0,0,33,17,9,14,623,943,827,859,700
"Q9LDY5",3,14,11,19,0,0,0,0,2,4,2,2,3,0,0,0,0,0,0,39,32,6,22,14,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"Q9LEK8",1,65,29,59,1,0,1,1,1,6,2,5,4,7,2,1,2,2,0,70,97,44,69,9,0,0,0,0,0,0,0,32,0,7,13,1,20,1,11,0
"Q9LEV7",12,27,12,61,0,0,2,3,0,4,5,7,15,2,23,12,3,0,0,68,100,40,31,11,0,0,0,0,0,0,0,0,28,47,29,13,57,14,19,23
"Q9LFB8",11,2,14,38,0,0,0,0,0,0,2,1,0,0,41,6,7,3,0,176,159,105,37,11,0,0,0,0,0,0,0,0,0,0,0,0,0,8,17,12
"Q9LFC5",1,7,7,13,2,0,12,8,38,142,129,106,175,0,181,89,87,0,0,76,31,19,0,0,0,0,0,0,0,0,0,30,471,441,598,472,691,665,473,499
"Q9LFE0",190,3,0,6,0,0,5,14,0,1,1,0,3,1,25,13,11,8,0,326,372,165,144,48,0,0,0,0,0,0,0,0,3,2,3,45,100,102,74,101
"Q9LFN3",54,0,0,0,0,0,0,0,0,2,0,7,1,2,3,6,26,0,0,172,222,127,51,18,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,7
"Q9LFV6",1,49,28,83,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,40,32,0,0,1,0,0,0,0,0,0,0,39,0,0,0,0,0,0,0,0
"Q9LHD2",93,11,1,9,0,0,0,0,0,1,1,3,0,1,7,3,1,19,0,174,321,128,70,53,0,0,0,0,0,0,0,12,0,0,5,0,0,1,0,13
"Q9LHE5",26,29,20,65,3,0,0,0,0,0,0,0,1,5,2,3,1,4,1,445,450,136,126,38,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0
"Q9LHG8",2,6,4,30,0,2,0,0,0,0,0,1,0,0,0,0,0,1,0,77,50,17,11,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Q9LHH7",1,95,100,183,10,0,21,17,19,52,20,50,216,0,84,66,19,3,0,180,230,61,66,31,0,0,0,0,0,0,0,40,285,320,326,239,448,371,285,532
"Q9LIC2",224,155,147,547,4,0,0,7,0,5,3,15,9,6,76,34,40,26,8,887,844,344,211,102,0,0,0,0,0,0,0,86,110,101,133,29,94,92,26,91
"Q9LIG0",491,0,4,0,0,0,0,0,0,0,0,1,3,0,5,0,0,12,0,819,633,314,403,44,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3
"Q9LIR9",5,51,60,141,6,0,1,0,0,5,1,9,1,3,3,2,0,1,0,44,62,26,0,11,0,0,0,0,0,0,0,44,37,87,57,11,8,1,7,7
"Q9LJD8",4,52,10,26,2,0,0,0,9,2,9,3,1,1,10,10,1,0,0,168,154,79,37,9,0,0,0,0,0,0,0,12,0,0,1,1,15,15,0,22
"Q9LJL3",79,268,208,574,10,2,1,2,1,0,0,3,0,12,1,1,1,6,0,1553,1060,536,440,65,0,0,0,0,0,0,0,128,0,0,6,21,6,31,43,18
"Q9LJU7",1,47,24,20,0,0,0,0,3,4,2,4,1,1,2,8,1,5,0,66,78,34,22,8,0,0,0,0,0,0,0,21,0,0,12,0,1,0,0,9
"Q9LJX4",3689,22,33,189,1,1,2,13,60,354,81,272,253,10,24,9,9,95,0,6310,4664,1885,4008,335,0,0,0,0,0,0,0,37,324,429,340,245,559,662,434,634
"Q9LJX8",453,264,170,366,6,3,4,1,2,2,2,1,3,0,91,31,50,29,0,1526,1491,615,490,185,0,0,0,0,0,0,0,39,208,245,181,34,16,27,40,28
"Q9LK09",17,120,41,131,2,0,0,0,0,0,0,3,0,0,0,0,0,3,0,344,284,121,150,31,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0
"Q9LK25",20,46,67,130,5,0,0,1,0,0,0,1,1,2,2,2,0,0,0,384,354,154,142,25,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0
"Q9LK65",8,57,53,112,2,0,0,0,0,0,0,1,0,0,1,0,4,0,0,84,85,47,27,9,0,0,0,0,0,0,0,39,0,0,0,0,0,0,0,0
"Q9LKB9",154,91,135,675,2,0,7,19,11,30,10,77,44,17,23,6,24,9,3,1327,1110,539,330,68,0,0,0,0,0,0,0,14,58,127,61,175,313,368,238,429
"Q9LKW9",97,40,43,90,0,0,0,3,0,1,6,8,4,0,51,10,34,23,0,412,572,291,71,63,0,0,0,0,0,0,0,14,46,79,61,12,14,14,17,25
"Q9LM02",26,158,82,228,2,0,0,22,2,2,1,5,4,13,0,1,1,3,0,436,346,148,254,70,0,0,0,0,0,0,0,103,14,25,36,0,17,0,0,13
"Q9LM92",181,218,153,331,9,5,0,0,0,0,0,0,0,0,124,94,53,5,0,460,396,142,196,96,10,2,0,1,0,0,0,52,215,202,393,4,1,1,3,1
"Q9LMA1",7,104,83,192,3,0,24,30,85,398,95,183,209,10,15,5,3,45,0,429,458,144,203,52,0,0,0,0,0,0,0,80,642,771,591,563,998,924,754,733
"Q9LMJ7",17,23,9,17,0,0,0,0,0,1,1,0,0,0,0,1,0,5,0,146,154,61,28,6,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"Q9LMT1",100,130,67,142,3,0,0,1,0,2,0,1,0,6,15,9,5,3,0,399,392,166,67,56,0,0,0,0,0,0,0,60,3,3,7,17,19,6,7,13
"Q9LMT2",96,156,123,260,6,0,7,5,0,6,3,14,4,7,5,7,6,9,1,521,565,288,227,47,0,0,0,0,0,0,0,47,4,3,29,95,184,150,110,163
"Q9LN20",2,53,75,94,2,0,1,0,0,1,0,1,0,0,14,3,6,1,0,138,146,30,20,12,0,0,0,0,0,0,0,40,0,0,0,1,1,0,0,0
"Q9LND7",20,35,12,78,4,0,0,2,0,1,0,5,0,0,5,0,0,0,3,131,148,97,17,14,0,0,0,0,0,0,0,0,6,19,3,3,0,3,0,0
"Q9LP45",71,143,46,53,7,0,53,77,21,29,20,1,1,10,159,58,49,10,0,544,485,185,294,47,0,0,0,0,0,0,0,64,72,51,63,646,986,899,657,756
"Q9LPV5",6980,4629,3326,2838,61,1,40,141,990,6039,1412,5605,5941,6,2721,138,171,1,0,30882,21124,9419,8605,2206,0,0,0,0,0,0,0,899,14251,17783,13167,9315,15614,16002,12926,12244
"Q9LPX2",7,18,7,23,0,0,12,18,3,6,3,4,10,4,77,38,34,10,0,191,198,96,32,20,0,0,0,0,0,0,0,0,190,138,138,51,31,52,20,58
"Q9LQ14",36,245,202,506,11,2,23,23,0,8,3,9,3,11,61,27,20,0,0,513,393,153,194,15,0,0,0,0,0,0,0,123,46,83,46,357,539,417,444,419
"Q9LQ16",11,22,17,62,0,0,0,0,0,1,0,0,0,1,7,14,7,0,0,119,145,59,27,6,0,0,0,0,0,0,0,10,5,7,5,0,1,0,1,3
"Q9LQK0",8,21,6,7,0,0,0,0,0,1,0,1,0,0,4,1,1,0,0,33,72,12,10,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Q9LR64",57,77,79,197,6,1,8,1,0,0,0,0,3,3,1,0,1,2,0,625,664,294,275,41,0,0,0,0,0,0,0,7,0,0,0,13,31,32,31,67
"Q9LR75",59,198,151,320,6,0,25,39,0,4,8,6,3,2,43,3,1,13,0,523,412,226,173,30,0,0,0,0,0,0,0,55,5,12,28,352,495,436,376,337
"Q9LR78",13,41,40,111,1,0,1,0,35,149,34,104,134,2,6,3,2,3,0,862,907,350,206,95,0,0,0,0,0,0,0,80,0,1,0,1,63,52,23,64
"Q9LRE6",8,3,9,35,5,0,38,104,50,133,88,125,215,5,3,1,1,9,0,416,415,133,97,15,0,0,0,0,0,0,0,13,16,27,41,689,1352,1142,791,1492
"Q9LSE4",21,12,5,12,1,0,17,43,44,194,110,176,190,2,191,113,113,0,0,558,395,126,122,44,0,0,0,0,0,0,0,5,435,634,433,427,900,613,551,704
"Q9LSL9",1,44,25,70,2,0,0,0,1,1,0,1,1,1,6,3,4,7,0,27,54,17,0,18,0,0,0,0,0,0,0,29,0,0,0,17,39,16,0,44
"Q9LSV0",35,25,8,55,1,0,0,0,0,0,0,5,0,0,0,0,1,5,0,186,197,77,105,27,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0
"Q9LSX4",79,32,32,54,0,0,0,0,0,0,0,0,0,0,20,3,3,5,0,281,313,117,144,52,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0
"Q9LT02",4,70,44,176,3,3,6,8,6,5,12,31,11,4,10,5,13,4,0,176,196,75,49,20,0,0,0,0,0,0,0,28,19,20,15,142,230,151,93,117
"Q9LT25",6,26,13,37,4,0,0,0,0,3,0,0,0,1,5,1,0,3,0,86,82,29,9,10,0,0,0,0,0,0,0,12,9,19,21,0,0,0,0,0
"Q9LT31",4,47,24,57,4,0,1,0,0,3,1,2,3,1,4,2,1,10,0,45,41,15,0,1,0,0,0,0,0,0,0,41,15,7,15,5,27,20,9,27
"Q9LT68",76,285,145,1094,8,1,3,2,43,234,112,224,298,10,13,21,10,22,1,3572,2805,1282,1052,210,0,0,0,0,0,0,0,104,151,124,123,153,200,267,244,244
"Q9LTD8",4,37,14,39,1,0,9,9,9,8,2,11,7,6,29,18,7,1,0,103,102,70,10,5,0,0,0,0,0,0,0,7,19,25,8,91,146,102,70,157
"Q9LTI3",1,4,12,26,1,0,0,0,0,1,1,0,0,0,11,1,5,1,0,49,79,18,0,18,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0
"Q9LTS6",7,8,2,8,0,0,0,0,2,8,5,2,6,0,1,0,1,7,0,107,68,23,43,13,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0
"Q9LTX4",51,9,8,44,2,0,1,10,12,85,10,50,83,0,11,7,7,5,0,99,129,43,21,5,0,0,0,0,0,0,0,9,29,76,59,68,166,278,145,309
"Q9LU46",43,42,33,53,1,0,0,0,1,1,4,3,3,5,0,0,0,10,0,276,289,141,209,38,0,0,0,0,0,0,0,16,7,10,7,4,1,0,0,0
"Q9LV93",10,74,53,140,2,0,0,2,4,25,5,15,11,2,2,0,3,11,0,447,494,242,122,29,0,0,0,0,0,0,0,10,24,21,16,16,20,29,0,28
"Q9LVE4",526,93,42,64,2,0,3,1,0,0,1,7,1,2,11,3,1,6,0,1072,911,460,335,64,0,0,0,0,0,0,0,9,16,18,19,0,1,0,0,1
"Q9LVJ0",82,124,73,187,9,0,5,0,0,1,2,0,1,1,4,3,4,9,0,383,500,178,178,71,0,0,0,0,0,0,0,36,49,59,110,4,0,4,1,14
"Q9LVQ8",11,22,42,81,5,0,10,24,7,12,7,8,7,11,32,14,24,11,0,353,225,110,74,26,0,0,0,0,0,0,0,0,141,162,119,96,139,195,73,213
"Q9LW15",284,164,56,132,1,0,47,93,4,9,19,49,13,1,313,62,70,8,0,862,703,267,335,100,0,0,0,0,0,0,0,27,146,178,160,450,823,755,599,612
"Q9LX31",233,130,22,49,1,0,0,0,0,0,0,5,1,3,59,6,36,10,0,683,781,331,471,114,0,0,0,0,0,0,0,32,1,8,1,0,0,0,0,1
"Q9LXC9",187,94,60,154,0,1,38,97,121,328,177,381,436,10,2,1,1,3,0,2172,2109,730,1198,256,0,0,0,0,0,0,0,36,18,1,24,1184,1653,1538,1508,1314
"Q9LXF8",1378,11,19,36,0,0,0,3,2,1,1,12,1,0,3,2,2,3,0,1529,1334,448,698,87,0,0,0,0,0,0,0,0,0,0,6,28,44,26,9,66
"Q9LXG1",2575,722,386,996,16,1,126,185,1,3,9,1,3,24,216,112,126,41,5,3728,3678,2088,3106,563,0,0,0,0,0,0,0,64,315,361,224,1268,2415,1612,3904,998
"Q9LY75",29,18,17,38,0,0,2,5,2,0,6,12,5,1,15,9,5,0,0,43,84,18,24,23,0,0,0,0,0,0,0,4,23,30,26,32,56,21,8,44
"Q9LYA9",16,22,10,34,1,0,0,0,0,0,0,7,0,3,3,0,0,0,0,125,122,83,51,10,0,0,0,0,0,0,0,0,0,0,0,0,12,8,2,5
"Q9LYJ9",18,5,8,3,1,0,0,1,37,164,64,76,142,2,3,12,174,4,0,1392,1469,582,876,136,0,0,0,0,0,0,0,22,13,23,21,23,17,16,0,0
"Q9LYN7",182,45,64,193,1,0,18,51,86,596,70,353,440,3,290,200,49,34,0,2571,1907,767,1164,120,0,0,0,0,0,0,0,65,557,821,569,446,1014,1350,854,1368
"Q9LYR5",307,11,11,16,5,0,0,1,0,1,0,10,7,0,0,0,1,0,0,423,483,150,211,72,0,0,0,0,0,0,0,4,1,0,3,8,22,1,2,16
"Q9LYT1",1,0,0,2,0,0,0,0,3,16,8,11,15,1,0,0,0,1,0,4,4,0,0,19,0,0,0,0,0,0,0,0,35,0,0,1,0,0,0,0
"Q9LYW5",7,8,23,34,0,0,2,3,4,17,6,12,18,2,2,0,0,3,0,86,74,29,43,24,0,0,0,0,0,0,0,1,0,5,0,29,83,51,28,72
"Q9LYZ9",2,406,275,728,11,0,22,17,2,4,2,49,9,5,3,3,2,12,0,146,100,45,48,34,0,1,0,0,0,0,0,147,16,12,28,567,817,478,356,475
"Q9LZ82",224,206,153,319,2,0,0,1,6,12,3,8,12,5,17,21,8,34,0,1046,1172,430,285,147,0,0,0,0,0,5,0,65,21,19,28,25,53,19,21,23
"Q9LZ98",47,38,32,65,3,0,0,0,4,30,10,0,3,1,153,82,69,0,0,897,764,240,456,72,0,0,0,0,0,0,0,1,15,6,0,9,17,29,7,19
"Q9LZA6",9,55,22,71,4,0,2,0,2,0,2,3,5,0,15,22,6,0,0,183,127,53,57,15,0,0,0,0,0,0,0,14,0,0,1,31,50,7,5,64
"Q9LZK5",1,31,19,51,5,0,18,7,22,110,68,50,104,1,121,82,59,1,0,143,207,61,0,1,0,0,0,0,0,0,0,23,239,191,282,445,615,549,376,421
"Q9LZQ9",66,75,42,107,0,0,1,0,1,0,6,12,4,5,8,2,6,1,0,327,312,105,25,41,0,0,0,0,0,0,0,29,14,5,1,20,18,21,19,7
"Q9LZS3",5,11,16,44,0,0,1,0,2,2,1,1,2,2,1,1,0,10,0,216,184,76,40,14,0,0,0,0,0,0,0,0,1,0,15,0,6,1,0,17
"Q9M041",153,17,14,35,0,0,0,0,10,39,6,37,22,1,13,2,7,18,0,591,506,187,252,23,0,0,0,0,0,0,0,16,45,43,58,21,10,16,15,15
"Q9M081",4,18,10,37,1,0,0,0,6,29,6,13,20,1,11,0,2,0,0,131,129,37,47,5,0,0,0,0,0,0,0,13,8,10,14,1,10,3,12,18
"Q9M0E5",0,21,20,45,0,0,0,0,1,9,2,1,1,0,14,1,8,2,0,1,33,0,0,0,0,0,0,0,0,0,0,17,14,11,9,5,6,0,6,28
"Q9M0S5",877,117,104,363,1,0,0,0,0,11,1,1,3,7,18,13,12,9,0,2341,1484,678,923,133,0,0,0,0,0,0,0,32,1,13,14,0,22,15,0,14
"Q9M0V0",14,25,15,45,1,0,0,0,0,0,0,0,0,1,10,0,7,0,0,114,115,38,43,20,0,0,0,0,0,0,0,5,3,0,0,8,0,0,0,1
"Q9M0Y8",22,51,32,77,5,0,0,1,1,2,0,10,1,1,1,3,0,7,0,263,266,95,100,26,0,0,0,0,0,0,0,22,1,0,1,7,0,0,0,12
"Q9M1H3",127,106,108,165,3,0,13,16,6,28,20,39,29,40,56,42,16,0,0,544,646,241,263,80,0,0,0,0,0,0,0,22,229,216,194,296,583,662,697,440
"Q9M1K2",21,196,244,608,1,0,7,73,80,537,174,565,602,4,195,225,79,8,0,2002,2263,972,621,303,0,0,0,0,0,0,0,123,860,1053,779,735,1411,1398,1006,1474
"Q9M2G7",87,3,4,2,0,0,1,0,0,0,2,1,0,1,16,3,0,0,0,152,167,64,39,16,0,0,0,0,0,0,0,0,0,0,12,0,0,1,0,0
"Q9M2P2",97,27,23,52,1,0,0,0,3,19,6,34,21,6,4,0,0,0,0,306,330,154,75,94,0,0,0,0,0,0,0,0,3,13,14,19,47,29,31,33
"Q9M2P7",568,114,105,173,7,0,0,1,0,1,2,9,0,6,0,0,2,0,0,1602,1304,496,913,124,0,0,0,0,0,0,0,0,0,12,1,0,1,1,0,11
"Q9M2T9",45,41,34,77,0,0,0,1,1,2,1,8,2,6,2,0,0,0,0,257,228,81,60,29,0,0,0,0,0,0,0,25,1,5,0,1,0,4,4,5
"Q9M304",36,175,74,270,2,0,1,7,6,38,23,35,54,5,113,45,16,0,0,824,414,210,310,29,0,0,0,0,0,0,0,39,1,25,16,162,220,281,210,343
"Q9M354",132,6,4,10,7,0,0,1,3,1,2,1,1,5,10,1,1,5,0,325,323,119,200,46,0,0,0,0,0,0,0,7,0,0,9,7,14,0,0,20
"Q9M390",24,6,4,20,0,0,1,1,2,4,19,24,22,1,5,3,0,3,0,110,149,70,19,24,0,0,0,0,0,0,0,0,5,6,9,3,68,16,44,25
"Q9M3G7",1,104,89,152,5,0,7,51,1,12,8,13,6,1,16,3,4,1,0,64,43,11,0,8,0,0,0,0,0,0,0,13,58,54,64,239,351,306,185,361
"Q9M4A1",1,1,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,5,3,6,0,2,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0,0
"Q9M4B5",3,22,5,17,3,0,25,30,1,1,2,2,1,3,0,1,1,0,0,140,115,43,25,29,0,0,0,0,0,0,0,72,15,17,0,0,0,1,0,0
"Q9M571",46,16,7,23,0,0,0,1,0,1,2,2,1,1,15,10,7,27,1,460,393,151,182,16,0,0,0,0,0,0,0,0,0,0,5,15,21,13,0,29
"Q9M622",1,8,18,18,2,0,12,40,39,296,42,125,286,1,218,46,52,3,0,190,163,68,55,14,0,0,0,0,0,0,0,10,441,695,370,271,607,728,605,704
"Q9M7R0",126,19,24,30,1,0,1,4,35,97,45,40,96,7,3,6,4,6,4,879,893,341,297,128,0,0,0,0,0,0,0,8,39,26,27,53,89,47,28,69
"Q9M888",120,184,140,299,5,0,2,3,0,0,1,1,3,8,8,0,1,20,0,1060,893,389,465,56,0,0,0,0,0,0,0,60,4,1,5,48,50,70,56,72
"Q9M8D3",31,2,34,46,4,0,0,1,1,1,0,6,1,0,5,14,3,5,0,453,247,110,107,6,0,0,0,0,0,0,0,0,0,0,0,7,17,1,22,22
"Q9M8J2",13,17,14,29,0,0,0,0,0,2,0,0,0,0,15,17,21,1,0,92,97,72,21,5,0,0,0,0,0,0,0,13,0,0,1,0,1,10,5,1
"Q9M8J9",100,368,263,547,17,1,6,6,1,2,3,5,2,4,35,39,22,4,0,896,1148,366,239,54,0,0,0,0,0,0,0,161,41,91,99,83,123,102,95,98
"Q9M8K7",183,25,11,61,1,0,43,50,115,234,175,287,386,4,111,67,43,4,0,1339,1254,501,891,131,0,0,0,0,0,0,0,27,364,403,408,721,1097,1059,771,1090
"Q9M8L9",151,48,42,63,1,1,0,8,3,3,1,3,3,5,30,25,4,5,0,547,386,152,162,32,0,0,0,0,0,0,0,0,6,12,17,76,156,117,76,103
"Q9M8T9",2,4,5,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,17,10,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
"Q9M8Y0",6,56,85,161,2,0,1,2,1,4,4,1,1,4,23,5,2,2,0,137,128,62,27,6,0,0,0,0,0,0,0,29,1,0,11,74,148,0,42,112
"Q9M8Z7",59,100,52,127,1,0,0,0,19,13,17,25,66,0,22,17,3,19,0,823,752,315,337,65,0,0,0,0,0,0,0,17,0,12,1,32,111,74,79,150
"Q9M907",12,69,64,170,5,0,8,8,1,4,2,4,5,10,24,13,8,4,0,315,463,176,88,72,0,0,0,0,0,0,0,50,30,15,24,15,63,32,25,43
"Q9M9E8",21,64,39,99,1,0,2,8,8,35,10,8,5,1,5,4,1,0,0,250,287,128,96,47,0,0,0,0,0,0,0,1,14,18,6,42,41,22,0,43
"Q9M9W9",65,25,29,58,1,0,7,23,36,171,75,178,250,1,152,79,66,0,0,511,588,233,178,73,0,0,0,0,0,0,0,8,355,253,227,286,669,636,349,782
"Q9M9Y8",4,1,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,18,50,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Q9MA15",10,95,75,388,1,0,0,1,1,1,0,2,1,3,2,6,1,1,0,150,147,73,45,21,0,0,0,0,0,0,0,9,165,190,152,0,0,0,0,9
"Q9MA90",19,28,5,18,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,55,79,36,8,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Q9MAA2",1,14,13,29,1,1,1,1,7,56,10,59,72,0,2,3,2,1,0,34,72,10,15,0,0,0,0,0,0,0,0,39,0,1,0,40,69,75,68,106
"Q9MAG3",77,97,98,328,4,0,3,10,7,70,2,43,26,7,48,5,7,14,0,787,628,230,272,51,0,0,0,0,0,0,0,17,94,178,126,41,89,180,59,258
"Q9MAH3",17,29,14,39,0,0,0,0,5,38,16,34,43,0,3,0,0,3,0,228,296,160,42,47,0,0,0,0,0,0,0,9,11,14,24,1,0,0,0,0
"Q9MAQ3",11,16,15,41,2,0,0,0,0,6,0,2,3,1,39,28,17,1,3,86,118,36,18,22,0,0,0,0,0,0,0,0,27,34,32,1,7,6,4,29
"Q9MAT5",116,83,57,140,1,0,0,0,0,0,0,0,0,0,1,0,0,5,0,446,459,195,138,55,0,0,0,0,0,0,0,3,3,4,0,0,0,0,1,1
"Q9MB58",33,9,12,18,1,0,3,10,25,67,18,46,30,0,55,43,41,2,0,271,271,113,85,58,0,0,0,0,0,0,0,0,130,113,109,100,188,90,53,162
"Q9MBF8",123,31,6,133,0,0,1,1,13,31,6,15,18,0,24,0,1,4,0,663,405,218,134,25,0,0,0,0,0,0,0,10,13,15,13,5,28,28,15,73
"Q9MZ19",1,12,15,22,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,14,16,1,6,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0
"Q9N1Q9",127,37,16,30,1,0,0,0,22,69,25,60,106,1,0,0,0,20,6,1194,1289,480,319,131,0,0,0,0,0,0,0,43,0,0,10,0,1,0,0,0
"Q9N1R0",120,23,21,141,0,0,2,2,2,14,2,3,7,3,17,5,4,1,0,176,232,114,39,30,0,0,0,0,0,0,0,24,9,19,11,19,43,39,33,66
"Q9NES8",4,132,104,305,10,0,6,6,10,27,20,30,36,9,2,2,1,7,0,150,217,79,120,32,0,0,0,0,0,0,0,97,1,12,23,187,138,320,324,224
"Q9NGQ2",7,246,157,543,2,0,2,3,20,43,63,59,76,2,15,7,11,9,1,839,859,411,227,129,0,0,0,0,0,0,0,89,32,1,32,63,109,118,61,244
"Q9NHW7",4,13,4,24,2,0,3,3,90,306,165,313,365,7,79,13,35,4,0,570,571,319,225,79,0,0,0,0,0,0,0,72,17,1,0,711,1303,899,1223,811
"Q9NIF3",0,84,65,171,6,1,0,0,0,0,1,1,1,1,1,2,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,81,9,10,24,36,26,0,1,22
"Q9NJ15",4,17,6,46,0,0,2,0,2,8,0,11,7,0,32,4,13,0,0,148,131,74,18,9,0,0,0,0,0,0,0,4,11,9,10,8,4,0,0,22
"Q9NJU9",64,180,133,224,6,0,0,1,2,18,8,11,10,2,51,26,8,13,0,606,563,256,156,63,0,0,0,0,0,0,0,64,35,38,56,43,46,87,32,68
"Q9NKW1",96,31,17,71,0,0,0,0,0,0,0,3,0,0,4,0,2,1,0,181,264,93,138,25,0,0,0,0,0,0,0,3,0,0,4,4,0,0,0,8
"Q9NQ36",12,312,295,875,11,0,0,0,3,4,1,7,9,0,9,1,8,20,1,211,159,49,32,14,0,0,0,0,0,0,0,304,39,79,20,11,9,38,9,38
"Q9NQE7",29,31,15,34,1,0,104,102,173,519,295,406,600,0,913,447,496,9,0,1432,1062,455,852,113,0,0,0,0,0,0,0,47,2038,2398,2088,1560,2091,2061,2072,1741
"Q9NQT8",8,177,104,362,3,1,21,18,104,349,175,420,368,1,252,56,52,26,0,1340,1211,595,509,196,0,0,0,0,0,0,0,112,512,920,447,511,1182,917,806,905
"Q9NR30",54,37,39,74,2,0,0,0,1,1,1,2,1,4,3,2,0,1,0,266,185,88,86,23,0,0,0,0,0,0,0,22,0,7,6,0,0,0,10,0
"Q9NS40",12,12,18,41,3,0,2,1,0,3,1,2,0,1,9,2,0,2,0,37,147,79,26,1,0,0,0,0,0,0,0,0,0,0,1,13,14,16,1,17
"Q9NSA2",104,42,43,51,2,0,0,0,1,1,0,7,0,3,5,3,1,0,0,350,395,118,74,57,0,0,0,0,0,0,0,0,16,39,14,0,0,1,0,0
"Q9NSK0",3,6,4,16,2,0,0,0,0,0,0,0,0,0,0,0,0,3,0,66,54,33,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Q9NUV9",73,34,33,104,0,0,0,3,9,36,25,35,45,4,10,5,4,4,0,363,411,152,165,73,0,0,0,0,0,0,0,4,40,21,21,36,82,63,82,48
