"","USVI_118_A","UVI_092_B","UVI_094_B","UVI_096_B","UVI_108_B","UVI_132_B","UVI_092_C","UVI_094_C","UVI_100_C","UVI_102_C","UVI_104_C","UVI_106_C","UVI_108_C","USVI_118_C","UVI_132_C","UVI_136_C","UVI_138_C","UVI_106_D","M_d6_A","Past_d1_A","Past_d2_A","Past_d3_A","Past_d6_A","Past_d7_A","M_d6_B","O_d1_B","O_d3_B","O_d6_B","O_d7_B","O_d8_B","Past_d7_B","Pstr_d7_B","M_d1_C","M_d3_C","M_d6_C","O_d1_C","O_d3_C","O_d6_C","O_d7_C","O_d8_C"
"Q10AZ7",412,103,52,222,9,1,1,2,0,0,2,0,0,7,37,75,65,21,0,1833,1389,474,567,163,0,0,0,0,0,0,0,26,0,1,4,99,129,219,146,178
"Q10KF0",77,120,103,204,4,0,0,0,1,4,0,4,1,10,1,2,0,7,0,685,525,249,433,55,0,0,0,0,0,0,0,61,0,0,0,10,38,11,17,8
"Q10MH8",1,9,12,21,3,0,0,0,10,17,19,22,23,0,1,1,0,0,0,76,65,27,12,0,0,0,0,0,0,0,0,43,1,0,7,1,18,0,0,9
"Q10PP8",36,9,1,13,0,0,2,0,10,68,10,28,41,1,46,16,1,19,0,127,135,53,31,23,0,0,0,0,0,0,0,0,216,283,186,18,67,37,27,32
"Q10RZ1",11,54,54,111,3,0,0,5,0,0,0,0,0,0,33,9,12,0,0,2,5,3,0,1,0,0,0,0,0,0,0,18,8,55,42,45,146,53,35,109
"Q11083",99,70,64,135,2,0,6,1,1,10,1,4,7,9,17,6,2,0,0,675,533,285,173,56,0,0,0,0,0,0,0,4,10,13,12,9,24,42,12,44
"Q11208",12,8,8,16,1,0,43,23,0,0,0,8,0,0,0,1,0,1,0,522,583,180,146,102,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0
"Q11TT6",155,2,1,1,5,0,0,1,1,1,2,11,2,26,27,11,2,7,0,1215,963,421,387,92,0,0,0,0,0,0,0,0,17,23,25,0,1,0,0,21
"Q12271",48,1,1,2,0,0,0,0,0,8,1,1,2,2,33,23,10,1,0,282,218,22,0,31,0,0,0,0,0,0,0,3,6,0,0,1,6,12,0,16
"Q12314",47,12,1,8,3,0,0,1,0,1,0,0,1,0,0,0,1,7,0,52,51,19,29,17,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0
"Q12362",13,41,20,44,0,0,1,0,0,3,4,3,2,0,4,0,0,12,5,13,32,24,30,15,0,0,0,0,0,0,0,5,37,41,49,4,0,0,4,5
"Q12613",263,300,294,923,9,0,6,9,1,1,3,4,1,2,198,119,101,83,0,1557,1054,399,455,70,0,0,0,0,0,0,0,46,949,1256,946,91,169,164,79,163
"Q12714",327,74,63,132,3,0,0,0,0,0,0,35,0,1,0,0,0,2,0,1052,970,333,423,75,3,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0
"Q12746",178,1,10,12,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,164,144,85,66,11,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0
"Q12797",35,183,113,316,2,0,0,0,0,13,3,6,5,4,50,14,15,0,0,311,385,83,66,76,0,0,0,0,0,0,0,88,25,10,30,13,16,12,7,24
"Q12809",1,40,32,93,4,0,1,6,5,5,1,3,3,2,17,9,12,1,0,228,182,121,43,13,0,0,0,0,0,0,0,17,1,1,11,13,24,17,37,62
"Q12955",956,384,400,913,8,1,78,150,315,1088,476,982,1279,26,799,466,287,61,0,5905,6266,2715,1961,571,21,25,43,37,11,22,0,155,1423,1655,1451,2210,3176,2362,1792,2741
"Q13237",66,3,8,10,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,377,359,71,48,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Q13367",1,82,46,128,0,0,0,0,3,12,6,6,9,1,0,1,0,1,0,104,57,35,11,0,0,0,0,0,0,0,0,51,11,1,24,0,0,0,0,0
"Q13423",0,2,1,6,0,0,1,0,2,6,4,2,5,3,14,8,11,8,0,0,0,0,0,0,0,0,0,0,0,0,0,20,14,35,20,21,19,40,22,15
"Q13435",122,77,59,188,7,0,51,88,1,0,0,23,1,8,4,0,0,19,0,695,686,318,217,23,0,0,0,0,0,0,0,37,0,2,6,380,549,822,494,806
"Q13976",126,122,148,551,4,0,2,1,73,241,86,238,268,3,25,12,3,9,0,2059,2000,645,268,189,0,0,0,0,0,0,0,71,394,574,391,70,129,145,91,218
"Q14204",0,0,0,0,0,0,0,0,0,8,3,6,7,0,1,3,0,4,0,36,20,29,32,0,0,0,0,0,0,0,0,0,0,0,0,0,16,9,3,9
"Q14679",15,48,40,111,2,0,0,0,0,0,0,0,0,0,2,2,2,3,0,220,259,83,51,28,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,1
