"","UVI_092_A","UVI_094_A","UVI_096_A","UVI_100_A","UVI_102_A","UVI_104_A","UVI_106_A","UVI_108_A","USVI_118_A","UVI_132_A","UVI_136_A","UVI_138_A","UVI_092_B","UVI_094_B","UVI_096_B","UVI_100_B","UVI_102_B","UVI_104_B","UVI_106_B","UVI_108_B","USVI_118_B","UVI_132_B","UVI_136_B","UVI_138_B","UVI_092_C","UVI_094_C","UVI_096_C","UVI_100_C","UVI_102_C","UVI_104_C","UVI_106_C","UVI_108_C","USVI_118_C","UVI_132_C","UVI_136_C","UVI_138_C","UVI_092_D","UVI_094_D","UVI_096_D","UVI_100_D","UVI_102_D","UVI_104_D","UVI_106_D","UVI_108_D","USVI_118_D","UVI_132_D","UVI_136_D","UVI_138_D","M_d1_A","M_d3_A","M_d6_A","O_d1_A","O_d3_A","O_d6_A","O_d7_A","O_d8_A","Past_d1_A","Past_d2_A","Past_d3_A","Past_d6_A","Past_d7_A","Pstr_d7_A","M_d1_B","M_d3_B","M_d6_B","O_d1_B","O_d3_B","O_d6_B","O_d7_B","O_d8_B","Past_d1_B","Past_d2_B","Past_d3_B","Past_d6_B","Past_d7_B","Pstr_d7_B","M_d1_C","M_d3_C","M_d6_C","O_d1_C","O_d3_C","O_d6_C","O_d7_C","O_d8_C","Past_d1_C","Past_d2_C","Past_d3_C","Past_d6_C","Past_d7_C","Pstr_d7_C","M_d1_D","M_d3_D","M_d6_D","O_d1_D","O_d3_D","O_d6_D","O_d7_D","O_d8_D","Past_d1_D","Past_d2_D","Past_d3_D","Past_d6_D","Past_d7_D","Pstr_d7_D"
"Q54S90",0,0,0,0,0,0,0,0,357,0,0,0,103,45,115,1,1,2,0,1,1,1,0,0,103,75,1,285,691,482,425,595,11,996,511,448,0,0,0,0,0,0,4,0,0,0,1,0,0,0,0,1,0,0,0,0,2926,2503,1380,2130,410,0,0,0,0,0,0,0,0,0,0,0,0,0,0,107,1403,1735,1244,2330,3408,2505,4577,1754,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0
"Q54SN4",0,0,0,0,0,0,0,0,1,0,0,0,3,2,6,0,0,0,0,1,0,0,0,0,0,0,0,10,13,16,25,19,0,14,6,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,106,128,39,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,18,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Q54SR8",0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,46,85,10,6,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Q54ST2",0,0,0,0,0,0,0,0,14,0,0,0,31,16,51,0,0,0,0,2,0,0,0,0,3,3,5,0,4,0,4,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,209,197,95,13,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,11,15,0,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Q54T05",0,0,0,0,0,0,0,0,4,0,0,0,4,3,5,0,0,0,0,0,0,0,0,0,35,34,0,41,160,100,183,244,1,73,33,43,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,65,97,66,38,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,458,423,454,467,736,511,384,631,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Q54TA5",0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,11,7,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Q54TC5",0,0,0,0,0,0,0,0,1,0,0,0,4,1,5,0,0,0,0,0,0,1,0,0,0,0,0,9,10,6,27,36,0,6,5,5,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,33,38,23,59,49,7,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Q54TM7",0,0,0,0,0,0,0,0,32,0,0,0,12,12,41,0,3,0,0,4,0,0,0,0,3,4,0,0,0,0,3,0,0,0,15,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,146,145,58,7,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,28,45,60,41,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Q54UC9",0,0,0,0,0,0,0,0,20,0,0,0,34,30,82,0,0,0,0,0,0,0,0,0,0,0,0,5,15,11,15,20,2,0,2,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,295,339,107,21,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,11,4,5,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Q54UU1",0,0,0,0,0,0,0,0,6,0,0,0,10,3,15,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,26,9,19,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,5,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
